,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
a[6],2.02087,0.831099,1.21712,0.877132,0.775368,1.48445,3.94774,4.55286,4000.0,0.00948629,2.97827
a[7],1.65187,0.457272,0.75442,1.26904,0.699245,1.67561,2.59181,5.10309,4000.0,0.0106327,2.32911
a[8],1.45097,0.533849,0.78128,0.644168,0.455509,1.26454,2.68122,4.3887,4000.0,0.00914425,3.4723
a[9],1.78561,0.674683,0.969038,0.980038,0.780531,1.55409,3.29741,4.71168,4000.0,0.0098172,2.624
a[10],1.50142,0.473268,0.714082,0.73657,0.698775,1.32335,2.60487,4.53673,4000.0,0.00945268,3.01092
a[11],1.42262,0.294512,0.539538,0.455885,0.592549,1.68941,2.06978,5.41718,4000.0,0.0112872,2.13629
a[12],1.38629,0.58324,0.844077,0.346768,0.513642,1.02679,2.80524,4.48844,4000.0,0.00935207,3.11296
a[13],1.83755,0.615246,0.928694,0.85841,0.780155,1.36374,3.05753,4.89314,4000.0,0.0101953,2.42998
a[14],1.42611,0.431921,0.631408,0.42702,0.772652,1.06202,2.38251,4.96204,4000.0,0.0103389,2.51173
a[15],1.57991,0.647996,0.92564,0.384561,0.770582,1.15484,3.14799,5.07613,4000.0,0.0105766,2.2557
a[16],1.42584,0.268996,0.410922,0.462639,0.778299,1.61105,2.02892,4.93572,4000.0,0.010284,2.35487
a[17],2.07001,1.08574,1.55064,0.76744,0.771005,1.41829,4.6968,4.78713,4000.0,0.00997442,2.56192
a[18],1.4516,0.30234,0.555001,0.711615,0.780343,1.35261,2.28548,5.38419,4000.0,0.0112184,2.06586
a[19],1.52694,0.725311,1.0428,0.381922,0.528489,1.05832,3.29252,4.46096,4000.0,0.00929481,3.18227
a[20],1.36045,0.427533,0.656933,0.520938,0.527453,1.15509,2.37617,4.48871,4000.0,0.00935262,3.13023
a[21],1.37891,0.387466,0.645261,0.785237,0.359951,1.33784,2.24959,4.68119,4000.0,0.00975369,2.78247
a[22],1.80032,0.747953,1.15999,0.753876,0.574494,1.27537,3.5606,4.43856,4000.0,0.00924813,3.32714
t[1],28.8629,33.2106,47.0022,1.76425,0.295612,2.45693,110.275,4.56113,4000.0,0.00950353,2.97677
t[2],1.64535,0.677246,0.962766,0.528931,0.0309441,1.96018,2.63149,4.54489,4000.0,0.00946968,3.81223
t[3],1.54891,0.957237,1.35494,1.96383,0.000669941,1.58597,2.93075,4.66292,4000.0,0.00971561,3.26778
t[4],1.26993,0.731461,1.03926,1.29569,0.000361089,1.32306,2.57805,4.41731,4000.0,0.00920387,3.42246
t[5],1.28908,0.805127,1.14276,1.78907,2.41119e-05,1.22522,2.5917,4.66997,4000.0,0.00973029,2.74473
t[6],1.29753,0.789424,1.12029,1.57552,3.29388e-05,1.30719,2.68279,4.52869,4000.0,0.00943594,3.04768
t[7],1.64782,0.594692,0.8419,0.515618,0.225308,1.9369,2.29729,4.6312,4000.0,0.00964952,3.18432
t[8],94.4328,113.007,159.937,1.37535,1.25429,2.48421,371.509,4.41812,4000.0,0.00920554,3.38506
t[9],1.57749,0.663253,0.944329,1.50986,0.437943,1.49874,2.6469,4.80756,4000.0,0.010017,2.63767
t[10],1.34694,0.836571,1.18771,1.8763,0.000996537,1.26654,2.73148,4.86809,4000.0,0.0101431,2.4502
t[11],5.91797,4.68878,6.63626,1.22849,1.40713,2.44195,17.392,4.59174,4000.0,0.00956731,2.86773
t[12],1.7458,0.801195,1.14907,1.22879,0.000259461,1.82815,3.22426,4.52215,4000.0,0.00942231,3.16926
t[13],45.3282,53.3005,75.4349,1.84301,0.418723,2.32278,176.054,4.2571,4000.0,0.00887005,4.26785
t[14],1.34463,0.85307,1.20955,1.71434,7.06141e-05,1.15638,2.78385,4.4557,4000.0,0.00928385,3.26274
t[15],1.58084,0.672265,0.953091,0.522357,0.00484575,1.90641,2.5017,4.50621,4000.0,0.00938909,3.23256
t[16],1.35065,0.769653,1.09321,1.64195,0.0465886,1.24758,2.70224,4.60622,4000.0,0.00959748,2.93331
t[17],1.46673,0.659536,0.934603,0.676288,0.00839113,1.69756,2.51966,4.3132,4000.0,0.00898693,3.96957
t[18],4168.59,5099.54,7217.25,1.60412,0.804026,2.55577,16676.2,4.4125,4000.0,0.00919383,3.36037
t[19],95.1171,114.152,161.556,1.31929,0.833334,2.27562,374.993,4.59188,4000.0,0.0095676,3.03966
t[20],1.68021,0.685362,0.970102,0.193448,0.00272076,2.16088,2.29811,4.81822,4000.0,0.0100392,2.91964
t[21],4.96033,3.9422,5.58024,2.12057,0.325554,2.55717,14.5031,4.3139,4000.0,0.0089884,3.825
t[22],7.47899,6.20309,8.77915,0.844986,1.84666,2.66651,22.6802,4.44264,4000.0,0.00925664,3.33837
p_v_easy_gt_v_hard,0.543,,0.498179,0.0,0.0,1.0,1.0,,,,
mu_v_diff,-0.655703,1.59208,2.3858,2.08601,-4.88518,0.43588,1.8429,4.75974,4000.0,0.00991734,2.6104
